                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.59797,                0.62676,                0.87601,                0.83121,                0.76207,                0.82153,                0.66948,                0.63908,                0.55234,                0.88139,             7.6523e-05,             7.6523e-05,             7.6523e-05
                     56,                0.58881,                0.63003,                 0.8829,                0.82859,                0.79216,                0.83063,                0.68384,                0.62758,                0.55012,                0.87856,             7.4929e-05,             7.4929e-05,             7.4929e-05
                     57,                0.58361,                0.62765,                0.87463,                0.83277,                0.78871,                0.82774,                 0.6806,                0.63643,                0.54205,                0.87894,             7.3335e-05,             7.3335e-05,             7.3335e-05
                     58,                0.59091,                0.61431,                0.88034,                0.78712,                0.78923,                0.83376,                0.69285,                0.62448,                0.53991,                0.87517,             7.1742e-05,             7.1742e-05,             7.1742e-05
                     59,                  0.584,                 0.6023,                0.87593,                0.83206,                0.76136,                0.83887,                0.69209,                0.62559,                0.53942,                0.87652,             7.0148e-05,             7.0148e-05,             7.0148e-05
                     60,                0.59186,                0.61233,                0.88066,                0.82828,                0.78134,                0.82564,                0.68662,                0.61906,                0.53121,                0.87456,             6.8554e-05,             6.8554e-05,             6.8554e-05
                     61,                0.60308,                0.60085,                0.88144,                0.79694,                 0.8153,                0.82747,                0.68796,                0.62274,                0.52771,                 0.8754,              6.696e-05,              6.696e-05,              6.696e-05
                     62,                 0.5796,                0.59326,                0.87531,                0.79298,                0.81167,                0.83229,                0.68931,                0.62037,                0.52624,                0.87221,             6.5366e-05,             6.5366e-05,             6.5366e-05
                     63,                0.58038,                0.57286,                0.87272,                0.84623,                0.79436,                0.83827,                 0.6924,                0.61807,                0.52574,                0.87523,             6.3772e-05,             6.3772e-05,             6.3772e-05
                     64,                0.58677,                 0.5823,                0.87352,                0.82948,                0.79257,                0.83299,                0.68774,                0.61791,                0.51816,                0.87389,             6.2178e-05,             6.2178e-05,             6.2178e-05
                     65,                0.57533,                 0.5717,                0.87355,                0.83272,                0.79652,                  0.835,                0.69131,                0.62181,                 0.5259,                0.87258,             6.0584e-05,             6.0584e-05,             6.0584e-05
                     66,                0.57881,                0.56925,                0.87411,                0.80764,                0.79974,                0.83464,                0.69244,                0.62658,                0.53075,                 0.8751,              5.899e-05,              5.899e-05,              5.899e-05
                     67,                0.58576,                0.58089,                0.87505,                0.80787,                0.80131,                 0.8372,                0.69394,                0.62525,                0.52828,                0.87455,             5.7396e-05,             5.7396e-05,             5.7396e-05
